'WAYP' easting northing
WAYP 653561 244521
WAYP 660340 240396
WAYP 662661 232510
WAYP 664229 222296
WAYP 662158 200196
WAYP 662673 185237
WAYP 662400 175604
WAYP 662704 171204
WAYP 664415 163814
WAYP 662803 152769
WAYP 662427 142102
WAYP 660220 142233
WAYP 655145 134907
WAYP 652466 132272
WAYP 645447 131904
WAYP 641147 142476
WAYP 635813 153401
WAYP 632974 173210
WAYP 630881 184013
WAYP 631753 201364
WAYP 633561 221925
WAYP 634129 225639
WAYP 641334 225462
WAYP 643350 240406
WAYP 650543 241096
WAYP 651577 243434
WAYP 652697 244574
WAYP 663000 225940
WAYP 662975 222760
WAYP 661966 232842
WAYP 661366 185359
WAYP 660934 200733
WAYP 660501 202938
WAYP 654567 180760
WAYP 660004 182318
WAYP 660949 182318
WAYP 660128 211385
WAYP 661304 171514
WAYP 654013 242877
WAYP 652968 244133
WAYP 645667 235329
WAYP 653122 133096
WAYP 651917 133465
WAYP 632048 184139
WAYP 644653 241156
WAYP 634583 224736
WAYP 640764 225002
WAYP 640731 224090
WAYP 645852 134879
WAYP 651210 132976
WAYP 645716 132976
WAYP 645580 133452
WAYP 654934 240532
WAYP 660168 235006
WAYP 660745 234006
WAYP 660950 233647
WAYP 660882 230772
WAYP 661077 225797
WAYP 661517 225639
WAYP 661727 230334
WAYP 662155 231157
WAYP 662846 222818
WAYP 660266 212402
WAYP 655908 211858
WAYP 653806 212268
WAYP 653699 212061
WAYP 652798 210417
WAYP 653477 205732
WAYP 654189 204118
WAYP 660645 202300
WAYP 660816 200596
WAYP 655114 194057
WAYP 655825 193066
WAYP 660491 192293
WAYP 661223 185714
WAYP 661203 184580
WAYP 660922 183770
WAYP 660345 183030
WAYP 655178 181104
WAYP 654761 180854
WAYP 655789 181466
WAYP 660606 181943
WAYP 661141 181649
WAYP 661016 175822
WAYP 660573 174582
WAYP 661336 170903
WAYP 663102 163329
WAYP 663291 161162
WAYP 663000 155350
WAYP 662468 154339
WAYP 661470 153578
WAYP 661594 152065
WAYP 662363 144902
WAYP 662113 143485
WAYP 660437 150274
WAYP 660282 145744
WAYP 660307 143965
WAYP 654603 144591
WAYP 654513 144614
WAYP 654783 142741
WAYP 653376 134030
WAYP 653099 133547
WAYP 652533 133704
WAYP 651820 134451
WAYP 651663 133423
WAYP 650925 133733
WAYP 650996 132973
WAYP 650492 132876
WAYP 645944 133527
WAYP 650172 140062
WAYP 645857 134856
WAYP 645663 134019
WAYP 644858 134960
WAYP 642605 142913
WAYP 641336 145983
WAYP 634580 165948
WAYP 634008 174590
WAYP 632967 175972
WAYP 632246 184589
WAYP 633114 201035
WAYP 634902 224447
WAYP 635198 224501
WAYP 635729 224544
WAYP 640547 223839
WAYP 640081 223221
WAYP 641819 220649
WAYP 644290 234903
WAYP 644896 240134
WAYP 645375 240313
WAYP 645634 235218
WAYP 653015 243210
WAYP 653887 242040
WAYP 653842 240501
