pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,588,40,6,44394,28261,96,9,10,466.142093,441.584250,0.052683,180.003,16972,1
1,2,584,24,10,28416,44991,72,9,10,410.238567,367.190391,0.104934,180.003,25235,0
1,3,584,10,34,44991,44676,92,2,10,466.282536,466.282536,0.000000,31.714,6836,0
1,4,593,34,14,44676,36579,100,2,10,419.702741,419.702741,0.000000,71.805,8360,0
1,5,593,14,45,36579,44719,122,9,10,584.549192,542.607880,0.071750,180.005,10332,1
1,6,591,48,121,38164,44241,342,9,10,1508.322085,1291.707750,0.143613,180.016,1,0
1,7,582,121,53,44241,44993,352,9,9,1548.572588,1212.511805,0.217013,180.012,1,1
1,8,581,51,88,44243,44749,282,9,10,1053.337871,920.540611,0.126073,180.013,1,0
1,9,583,88,63,44749,44747,306,9,10,1000.505546,820.499591,0.179915,180.016,1,0
1,10,583,63,53,44747,42140,236,9,10,622.018590,594.262433,0.044623,180.007,1,1
1,11,588,62,33,44830,44937,194,9,10,608.566236,569.505935,0.064184,180.004,1,0
1,12,588,33,20,44937,18638,110,9,10,426.880264,409.291655,0.041203,180.003,22490,0
2,1,588,22,24,44239,28416,96,9,10,478.140279,435.574325,0.089024,180.002,5120,0
2,4,593,34,11,44676,43134,94,9,10,425.193266,410.552328,0.034434,180.002,10480,0
2,5,593,11,48,43134,38164,122,9,10,584.549182,544.249093,0.068942,180.003,8807,0
2,6,591,49,122,39141,44014,346,9,5,1461.880095,1223.272302,0.163220,180.007,1,0
2,7,582,122,51,44014,44243,350,9,10,1444.916216,1207.515906,0.164300,180.010,1,0
2,9,583,88,54,44749,42057,288,9,10,963.881231,810.130342,0.159512,180.012,1,0
2,10,583,54,62,42057,44830,236,9,10,617.488488,579.322388,0.061809,180.008,1,1
2,11,588,54,33,42568,44937,178,9,10,613.218444,566.418158,0.076319,180.005,1,1
2,12,588,46,20,44202,18638,136,9,10,478.560979,462.921202,0.032681,180.002,13062,1
3,1,588,22,24,44239,28416,96,9,10,468.388373,438.797049,0.063177,180.002,5852,0
3,4,593,34,11,44676,43134,94,9,10,425.193293,413.206231,0.028192,180.002,17282,0
3,5,593,11,49,43134,39141,124,9,10,588.841827,554.697467,0.057986,180.003,8287,0
3,6,591,50,121,39341,43814,346,9,10,1508.640753,1226.293837,0.187153,180.014,1,0
3,7,582,121,51,43814,44243,348,9,10,1436.951720,1202.823176,0.162934,180.007,1,0
3,8,581,52,87,44408,44584,282,9,10,989.074319,914.620409,0.075276,180.013,1,0
3,9,583,87,62,44584,44319,302,9,10,1009.124817,807.928689,0.199377,180.006,1,0
3,10,583,62,41,44319,43303,210,9,10,557.848663,543.378369,0.025939,180.336,1143,0
3,11,588,41,47,43303,44913,180,9,10,602.972163,569.983522,0.054710,180.003,1,1
3,12,588,40,19,43855,17927,122,2,10,431.066933,431.066933,0.000000,174.263,80474,1
4,1,588,22,24,44239,28416,96,9,10,467.155038,441.200714,0.055558,180.004,17429,0
4,4,593,34,11,44676,43134,94,9,10,425.193300,412.024011,0.030972,180.002,14244,0
4,5,593,11,50,43134,39341,126,9,10,589.798697,558.848800,0.052475,180.004,13667,0
4,6,591,51,120,41308,41847,346,9,10,1368.650077,1221.815550,0.107284,180.018,1,0
4,7,582,120,52,41847,44408,348,9,10,1456.724680,1191.107661,0.182339,180.014,1,0
4,8,581,53,86,44764,44228,282,9,10,1032.353005,915.048233,0.113629,180.015,1,0
4,9,583,87,61,44874,43673,300,9,10,1210.080826,796.839261,0.341499,180.020,1,0
4,10,583,61,48,43673,44361,222,9,10,589.714184,581.701916,0.013587,180.006,1636,0
4,11,588,48,41,44361,44102,182,9,10,612.861672,564.975935,0.078135,180.005,17,0
4,12,588,41,18,44102,17680,122,2,10,431.066933,431.066933,0.000000,151.426,45715,0
5,4,593,34,11,44676,43134,94,2,10,425.193284,425.193284,0.000000,109.641,10380,0
5,5,593,11,51,43134,41308,128,9,10,588.993083,561.391239,0.046863,180.005,16692,0
5,6,591,51,120,41308,41847,346,9,10,1440.160692,1225.812732,0.148836,180.011,1,1
5,7,582,114,53,38745,44764,338,9,10,1442.197749,1158.619034,0.196630,180.007,1,0
5,8,581,53,87,44764,44874,284,9,10,1055.800235,914.018767,0.134288,180.014,1,0
6,5,593,11,57,43134,44410,140,9,10,603.338359,586.508695,0.027894,180.004,24597,0
6,6,591,57,114,44410,38745,346,9,10,1483.410236,1228.958530,0.171532,180.007,1,0
