pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,43,61,41997,42000,212,9,10,728.175195,715.421063,0.017515,240.011,14242,0
1,2,581,61,72,42000,41997,270,9,10,908.963174,897.908642,0.012162,240.005,12321,1
1,3,591,71,78,41565,42000,302,9,10,1129.674872,989.363973,0.124205,240.005,1,1
1,4,581,82,70,39249,41993,308,9,10,1200.018212,995.879185,0.170113,240.011,1,0
1,5,583,70,41,41993,41991,226,9,10,1408.664191,1357.594293,0.036254,240.007,942,1
1,6,591,44,87,44302,41965,266,9,10,1633.992967,1429.264142,0.125294,240.008,1,0
1,7,593,87,31,41965,41996,240,9,10,1094.362138,999.599846,0.086591,240.021,1090,0
1,8,584,31,33,41996,41970,132,9,10,811.721160,739.393833,0.089104,240.002,1415,1
1,9,593,26,29,39553,41999,114,2,10,678.068466,678.068466,0.000000,7.796,31,0
1,10,591,29,15,41999,41730,92,9,10,1081.299013,1044.810856,0.033745,240.002,40365,0
1,11,588,15,17,41730,41381,68,2,10,1028.487464,1028.487464,0.000000,222.623,101937,1
1,12,584,11,2,39131,24855,30,2,5,462.160936,462.160936,0.000000,2.062,3282,1
2,1,583,43,62,41997,42432,214,9,10,725.631943,711.779486,0.019090,240.006,7215,0
2,2,581,62,67,42432,44316,262,2,10,876.023111,876.023111,0.000000,96.736,12772,0
2,3,591,67,82,44316,39249,302,9,10,1088.037237,1002.378604,0.078728,240.077,1,1
2,4,581,97,67,39306,39682,332,9,10,1138.927987,1109.824450,0.025553,240.356,1,0
2,5,583,67,45,39682,44493,228,9,10,1482.288575,1319.940235,0.109525,240.008,5,0
2,6,591,45,87,44493,41965,268,9,10,101639.131117,1390.458679,0.986320,240.007,1,0
2,7,593,87,38,41965,44413,254,9,10,1206.485044,1139.804500,0.055268,240.011,2,0
2,8,584,39,26,44778,39553,134,9,10,870.534327,737.067744,0.153316,240.011,2423,0
2,9,593,26,28,39553,41634,112,2,10,674.608933,674.608933,0.000000,7.459,90,1
2,10,591,24,21,36824,43980,94,9,10,1070.892414,1023.617184,0.044146,240.002,46698,0
2,11,588,21,10,43980,27563,66,2,10,976.320020,976.320020,0.000000,3.643,926,0
2,12,584,10,3,27563,36423,30,2,3,462.160936,462.160936,0.000000,1.215,1190,0
3,1,583,42,63,41945,42484,214,9,9,725.631948,711.438555,0.019560,240.005,10333,0
3,2,581,63,52,42484,44259,234,9,10,771.449274,763.108007,0.010812,240.006,37625,0
3,3,591,52,97,44259,39306,302,9,10,1193.947832,994.800281,0.166798,240.010,1,0
3,4,581,98,65,41092,37477,330,9,10,1155.127138,1071.185639,0.072669,240.015,1,0
3,5,583,65,46,37477,44912,226,9,10,1381.028150,1361.530183,0.014118,240.009,3984,1
3,6,591,42,87,44955,41965,262,9,10,1613.596045,1394.314828,0.135896,240.011,1,0
3,7,593,87,38,41965,44500,254,9,10,1175.642553,1104.680006,0.060361,240.012,1059,0
3,8,584,38,30,44500,44363,140,9,10,801.807606,749.503306,0.065233,240.881,4062,1
3,9,593,28,23,44498,35902,106,2,7,640.620682,640.620682,0.000000,6.919,1,0
3,10,591,23,22,35902,44902,94,9,10,1070.892402,1029.495331,0.038657,240.003,46967,0
3,11,588,22,11,44902,27841,70,2,4,974.650564,974.650564,0.000000,6.850,3167,0
3,12,584,11,3,27841,36423,32,2,2,459.789430,459.789430,0.000000,0.075,1,0
4,2,581,63,52,42484,44259,234,9,10,770.543907,764.829256,0.007416,240.006,43871,0
4,3,591,52,98,44259,41092,304,9,10,1084.764070,1005.940088,0.072665,240.010,1,0
4,4,581,99,69,41191,37434,340,9,10,1198.223164,1083.252681,0.095951,240.010,1,0
4,5,583,69,42,37434,44955,226,9,10,1381.028159,1359.127693,0.015858,240.012,5719,0
4,6,591,42,86,44955,41866,260,9,10,1600.192090,1361.711724,0.149032,240.022,142,0
4,7,593,86,40,41866,44365,256,9,10,1200.560503,1114.532533,0.071657,240.007,1119,0
4,8,584,40,28,44365,44498,140,9,10,832.601194,750.084312,0.099107,240.009,2906,0
5,2,581,63,52,42484,44259,234,9,10,770.543912,762.778838,0.010077,240.007,26180,0
5,3,591,52,99,44259,41191,306,9,10,1076.483393,1010.366921,0.061419,240.007,1,1
5,4,581,100,69,43877,37434,342,9,10,1239.485017,1111.003860,0.103657,240.008,1,1
5,5,583,70,42,38541,44955,228,9,10,1357.496968,1302.850227,0.040256,240.007,398,0
6,2,581,63,51,42484,41573,232,9,10,778.790012,774.529992,0.005470,240.010,53497,0
6,3,591,51,99,41573,42770,304,9,10,1018.632718,882.600981,0.133543,240.007,1,1
6,4,581,74,70,44866,38541,292,2,10,1018.377402,1018.377402,0.000000,185.278,2655,0
7,2,581,63,76,42484,39477,282,9,10,947.276083,900.647844,0.049223,240.005,1,0
7,3,591,76,74,39477,44866,304,9,10,977.465309,889.217498,0.090282,240.007,1,1
7,4,581,88,70,43805,38541,320,9,10,1146.478287,1039.179797,0.093590,240.698,1,0
8,2,581,63,62,42484,40538,254,2,10,818.102499,818.102499,0.000000,81.390,6086,0
8,3,591,62,88,40538,43805,304,9,10,986.125770,891.313498,0.096146,240.008,1,0
