pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,35,63,43347,43548,200,9,10,775.269125,740.502322,0.044845,180.005,1224,0
1,2,581,63,88,43548,43825,306,9,10,1274.623030,1127.200769,0.115659,182.475,1,0
1,3,591,88,32,43825,38138,244,9,10,1127.424370,1055.001520,0.064237,180.005,603,0
1,4,593,33,47,38728,42335,164,9,10,705.783894,679.031002,0.037905,180.358,1248,1
1,5,591,30,84,41021,43299,232,9,10,949.413868,919.699134,0.031298,180.010,1521,0
1,6,581,84,79,43299,43889,330,9,10,1145.492771,1023.351463,0.106628,180.006,1,0
1,7,583,80,48,44535,43418,260,9,10,1041.096285,879.910500,0.154823,180.008,1,0
1,8,588,48,4,43418,41179,108,9,10,672.454622,598.422101,0.110093,180.003,2993,1
1,9,584,12,23,41683,43412,74,2,10,485.895245,485.895245,0.000000,152.618,39280,0
1,10,593,23,23,43412,43774,96,2,10,402.437950,402.437950,0.000000,15.645,3542,1
1,11,593,20,42,43883,43750,128,9,10,522.780626,501.556402,0.040599,180.002,7087,0
1,12,588,42,10,43750,13213,108,2,10,518.827647,518.827647,0.000000,48.670,2133,0
2,1,583,36,62,43695,42902,200,9,10,771.390655,740.712034,0.039771,180.005,6460,0
2,2,581,62,88,42902,43825,304,9,10,1321.128420,1117.385652,0.154219,180.011,14,0
2,3,591,88,50,43825,40042,280,9,10,1138.136879,1109.734144,0.024955,180.004,569,0
2,4,593,50,30,40042,41021,164,9,10,706.514107,670.706473,0.050682,180.004,172,0
2,5,591,30,84,41021,43299,232,9,10,949.413881,921.870820,0.029011,180.010,1618,0
2,6,581,84,80,43299,44535,332,9,10,1236.299375,1019.544576,0.175325,180.016,1,0
2,7,583,80,40,44535,42914,244,9,10,927.825815,813.811412,0.122883,180.009,1,0
2,8,588,40,12,42914,41683,108,9,10,671.799745,597.794251,0.110160,180.002,3188,1
2,9,584,11,26,40448,43303,78,2,10,482.892497,482.892497,0.000000,42.363,11150,0
2,10,593,26,20,43303,43883,96,2,10,402.437949,402.437949,0.000000,14.122,2604,0
3,7,583,80,41,44535,44149,246,9,10,926.887449,846.084864,0.087176,180.005,1,0
3,8,588,41,11,44149,40448,108,9,10,686.292634,593.400477,0.135354,180.002,2651,0
