pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,581,87,58,43418,43833,294,9,10,1332.481683,1162.677653,0.127434,300.015,1,0
1,2,591,58,111,43833,43366,342,9,10,1296.030046,1095.422674,0.154786,300.007,1,0
1,3,591,111,43,43366,42365,312,9,10,1680.404418,1071.286905,0.362483,300.021,1,0
1,4,593,43,18,42365,42413,126,9,10,612.005813,548.528076,0.103721,300.005,4815,0
1,5,593,19,32,44427,41146,106,9,10,461.089942,451.773223,0.020206,300.003,25041,0
1,6,584,33,7,42659,41773,84,9,10,483.832526,429.469822,0.112359,300.001,18563,1
1,7,584,11,37,45000,37457,100,9,10,456.443041,447.049945,0.020579,300.002,49947,1
1,8,584,34,20,37982,43796,112,9,10,459.883386,431.413532,0.061907,300.005,33442,1
1,9,588,25,37,44247,40980,128,2,10,515.866184,515.866184,0.000000,65.954,6003,1
1,10,588,40,41,43280,43652,166,9,10,574.286518,513.238532,0.106302,300.009,105,1
1,11,583,29,59,42567,43785,180,9,10,536.513749,518.423610,0.033718,300.012,6967,0
1,12,583,59,28,43785,16554,178,9,10,602.410147,573.826639,0.047449,300.010,1241,1
2,1,581,87,58,43418,43833,294,9,10,1367.769074,1162.961032,0.149739,300.008,1,0
2,3,591,111,43,43366,42365,312,9,10,1267.625401,1092.550397,0.138113,300.016,1,0
2,4,593,43,19,42365,44427,128,9,10,607.499264,554.469821,0.087291,300.005,24852,0
2,5,593,19,29,44427,39432,100,9,10,445.793100,437.599746,0.018379,300.004,38966,0
2,6,584,29,14,39432,44475,90,9,10,457.141828,392.175490,0.142114,300.004,8344,1
2,7,584,11,29,44870,37531,84,9,10,418.987218,385.899139,0.078972,300.003,53916,0
2,8,584,29,22,37531,41947,106,9,10,457.368559,422.558670,0.076109,300.004,11873,0
2,9,588,22,52,41947,44365,152,2,10,552.978856,552.978856,0.000000,147.623,28001,0
2,10,588,52,29,44365,42567,166,9,10,582.065276,514.072713,0.116813,300.004,93,0
2,11,583,29,31,42567,16172,124,2,10,444.786277,444.786277,0.000000,127.320,22321,0
2,12,583,31,55,16172,43688,176,9,10,597.032976,567.661414,0.049196,300.005,941,1
3,1,581,87,58,43418,43833,294,9,10,1274.044385,1160.508950,0.089114,300.006,1,0
3,5,593,19,32,44427,39037,106,9,10,443.257296,431.605121,0.026288,300.003,35471,0
3,6,584,32,11,39037,44870,90,9,10,457.166117,393.679654,0.138870,300.002,11870,0
3,9,588,22,53,41947,44844,154,2,10,556.716606,556.716606,0.000000,77.773,5331,0
3,10,588,53,29,44844,42567,168,9,10,557.596794,520.694862,0.066180,300.009,21,1
3,11,583,37,55,43837,43688,188,2,10,542.326371,542.326371,0.000000,64.117,6999,0
3,12,583,55,31,43688,16172,176,9,10,597.032993,563.560242,0.056065,300.004,326,0
4,9,588,22,45,41947,43574,138,2,3,522.323681,522.323681,0.000000,11.588,3087,0
4,10,588,45,37,43574,43837,168,9,10,557.338477,519.333753,0.068190,300.006,210,1
4,11,583,52,55,42621,43688,218,9,10,603.077723,595.809128,0.012053,300.007,13592,1
4,12,583,54,31,41793,16172,174,9,10,600.737031,570.912918,0.049646,300.009,1236,0
5,9,588,22,30,41947,44790,108,2,1,463.128056,463.101839,0.000057,3.605,1,0
5,10,588,30,53,44790,44516,170,9,10,558.871251,517.404853,0.074197,300.007,767,0
5,11,583,53,54,44516,41793,218,9,10,603.077720,599.751337,0.005516,300.006,44438,0
