pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,48,61,43996,43989,222,9,10,663.846420,644.442793,0.029229,240.005,3920,0
1,2,581,61,80,43989,43988,286,9,10,872.951350,828.031826,0.051457,240.005,1,0
1,3,591,80,94,43988,43986,352,9,10,1655.376782,1330.178348,0.196450,240.010,1,0
1,4,593,94,29,43986,43992,250,9,10,1683.898247,1442.059921,0.143618,240.017,270,1
1,5,591,92,82,43602,43938,352,9,7,2549.478337,1387.086534,0.455933,240.009,1,1
1,6,583,82,51,43834,43988,270,9,10,1359.036197,1254.066254,0.077239,240.009,41,0
1,7,588,52,34,44179,43785,176,9,10,838.930562,818.803592,0.023991,240.006,1173,0
1,8,581,35,33,44254,43983,140,9,10,1338.986366,1223.645164,0.086141,240.004,2220,1
1,9,591,33,25,44799,43948,120,9,10,1399.846481,1244.413891,0.111035,240.005,26485,0
1,10,593,26,32,43986,43908,120,9,10,833.514399,777.531165,0.067165,240.004,26283,0
1,11,584,32,8,43908,34748,84,2,10,448.913036,448.913036,0.000000,23.876,1581,0
1,12,584,8,1,34748,9565,22,2,3,251.424330,251.424330,0.000000,0.048,1,1
2,1,583,48,62,43996,44049,224,9,10,665.629688,650.307772,0.023019,240.012,7652,0
2,2,581,62,79,44049,43950,286,9,10,865.300885,822.023712,0.050014,240.015,421,0
2,3,591,79,31,43950,44376,224,9,10,1159.730172,1107.287371,0.045220,240.008,1700,0
2,4,593,31,92,44376,43706,250,9,10,1651.613428,1173.509363,0.289477,240.007,3648,1
2,5,591,38,81,44140,43365,242,9,1,6430.594239,1012.031140,0.842622,240.888,1,0
2,6,583,81,52,43365,44179,270,9,10,1381.569175,1242.170691,0.100899,240.010,101,0
2,7,588,52,35,44179,43438,178,9,10,808.144479,689.065378,0.147349,240.008,2469,0
2,8,581,35,33,43438,44799,140,9,10,1326.237098,1220.294003,0.079882,240.004,1315,0
2,9,591,33,25,44799,43269,120,9,10,1405.451372,1209.307850,0.139559,240.002,27694,0
2,10,593,25,33,43269,44625,120,9,10,833.514398,750.011901,0.100181,240.006,31917,0
3,3,591,79,85,43950,43942,332,9,10,1528.495530,1255.069868,0.178885,245.252,1,0
3,4,593,85,38,43942,44140,250,9,10,1634.326115,1183.952384,0.275572,240.013,2307,1
3,5,591,88,79,43291,41360,338,9,10,1896.860487,1485.238827,0.217002,240.126,1,0
3,6,583,79,52,41360,44179,266,9,10,1351.239227,1197.527161,0.113756,240.006,581,0
3,9,591,33,26,44799,44894,122,9,10,1403.140408,1228.458169,0.124494,240.004,26468,0
3,10,593,26,33,44894,44625,122,9,10,836.926192,768.813647,0.081384,240.002,25399,0
4,3,591,79,35,43950,44791,232,9,10,1162.231331,1069.513644,0.079776,240.020,1120,0
4,4,593,35,88,44791,43291,250,9,10,1660.690984,1165.086677,0.298433,240.013,1601,0
