attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,7153.905,7153.905,0,0,0,48.728,349.352,48,43996,336.889,61,43989,545.290,80,43988,1041.356,94,43986,669.603,29,43992,1049.784,83,43998,422.495,51,43988,575.621,35,43976,929.640,33,43983,501.025,25,43948,336.923,32,43908,167.548,8,34748,228.378,1,9565
1,1,6890.492,6890.492,0,3,7,8239.550,324.162,50,44956,334.098,58,42980,545.290,80,43988,633.902,31,42988,1030.606,92,44990,1048.217,84,44047,530.015,46,44176,437.524,40,43788,922.582,35,44702,500.064,22,42512,332.607,33,44625,0.000,0,0,251.424,9,44313
2,1,6680.517,6680.517,0,3,10,16805.952,324.162,50,44956,334.098,58,42980,545.290,80,43988,635.122,32,43409,699.560,83,44243,1296.273,90,43524,347.014,40,44013,494.169,47,44420,922.582,35,44702,500.064,22,42512,332.607,33,44625,0.000,0,0,249.576,10,44693
3,1,6588.010,6588.010,0,0,6,21350.460,324.162,50,44956,334.098,58,42980,545.290,80,43988,538.867,45,44927,1362.015,115,44658,637.565,45,41591,347.014,40,44013,494.169,47,44420,922.582,35,44702,500.064,22,42512,332.607,33,44625,0.000,0,0,249.576,10,44693
4,1,6329.919,6329.919,0,0,3,25043.901,324.162,50,44956,334.098,58,42980,545.290,80,43988,538.867,45,44927,597.232,45,41591,1144.257,115,44658,347.014,40,44013,494.169,47,44420,922.582,35,44702,500.064,22,42512,332.607,33,44625,0.000,0,0,249.576,10,44693
5,1,6123.094,6123.094,0,0,1,26316.293,324.162,50,44956,334.098,58,42980,545.290,80,43988,590.092,52,44934,339.181,38,41584,1144.257,115,44658,347.014,40,44013,494.169,47,44420,922.582,35,44702,500.064,22,42512,332.607,33,44625,0.000,0,0,249.576,10,44693
6,1,6063.990,6063.990,0,2,4,30497.674,324.162,50,44956,334.098,58,42980,545.290,80,43988,586.832,51,43309,336.384,39,43469,1144.257,115,44658,347.014,40,44013,494.169,47,44420,864.954,34,44309,504.646,23,42645,332.607,33,44625,0.000,0,0,249.576,10,44693
7,1,6023.067,6023.067,0,1,5,35109.492,324.162,50,44956,334.098,58,42980,545.290,80,43988,579.368,52,43988,337.329,38,42790,1144.257,115,44658,347.014,40,44013,494.169,47,44420,829.355,33,43203,503.258,24,44550,335.190,33,43826,0.000,0,0,249.576,10,44693
8,1,6012.539,6012.539,0,1,6,38981.141,324.162,50,44956,334.098,58,42980,536.070,79,43950,579.368,52,43988,337.329,38,42790,1144.257,115,44658,347.014,40,44013,494.169,47,44420,829.355,33,43203,501.950,25,44588,335.190,33,43826,0.000,0,0,249.576,10,44693
9,0,6012.539,6012.539,1,0,4,41950.919,324.162,50,44956,334.098,58,42980,536.070,79,43950,579.368,52,43988,337.329,38,42790,1144.257,115,44658,347.014,40,44013,494.169,47,44420,829.355,33,43203,501.950,25,44588,335.190,33,43826,0.000,0,0,249.576,10,44693
