pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,588,40,35,41219,44151,154,9,10,559.086051,536.930401,0.039628,480.004,11911,0
1,2,583,36,65,44351,43780,206,9,8,657.368087,569.815057,0.133187,480.008,22,0
1,3,583,65,64,43780,44598,262,9,10,726.791681,704.807139,0.030249,480.008,80,0
1,4,581,64,83,44598,38996,298,9,10,1044.432178,856.007425,0.180409,480.012,15,0
1,5,581,83,68,38996,44894,306,9,10,1132.169561,980.790399,0.133707,480.011,9,0
1,6,591,68,102,44894,44850,344,9,10,1330.835907,1237.219809,0.070344,480.014,1,0
1,7,593,102,25,44850,43468,258,9,10,1282.249794,1043.297223,0.186354,480.008,21,0
1,8,593,25,21,43468,34211,96,9,10,511.457265,435.977624,0.147578,480.005,78158,1
1,9,593,26,27,44185,38620,110,2,10,591.869871,591.869871,0.000000,27.698,3635,0
1,10,584,27,6,38620,39530,70,2,10,472.217448,472.217448,0.000000,238.307,70944,1
1,11,584,9,19,44318,44514,60,2,3,515.309188,515.309188,0.000000,1.453,923,1
1,12,584,10,24,44373,25034,72,9,10,371.905934,324.321515,0.127947,480.004,157805,1
2,1,588,40,36,41219,44351,156,9,6,557.671636,539.030095,0.033427,480.003,24890,0
2,3,583,65,63,43780,44434,260,9,10,731.437023,696.359642,0.047957,480.007,1,0
2,4,581,63,83,44434,39055,296,9,10,999.941624,854.187175,0.145763,480.060,67,0
2,5,581,83,69,39055,44999,308,9,10,1070.853620,991.560383,0.074047,480.007,73,0
2,6,591,69,102,44999,44850,346,9,10,1533.248198,1236.509283,0.193536,480.022,1,0
2,7,593,103,20,44996,33494,250,9,10,986.402140,870.562790,0.117436,480.011,8,0
2,8,593,20,25,33494,44039,94,9,10,480.236186,435.585694,0.092976,480.002,93178,1
2,9,593,20,24,32658,33832,92,2,10,370.031875,370.031875,0.000000,31.559,5225,0
2,10,584,24,18,33832,44459,88,2,9,520.319496,520.319496,0.000000,25.279,7153,0
2,11,584,18,22,44459,24761,84,9,10,458.410674,394.155612,0.140169,480.003,61590,1
2,12,584,18,12,24936,44646,64,9,10,380.492121,337.040825,0.114198,480.005,221688,0
3,5,581,83,69,39055,44999,308,9,10,1100.913690,968.723212,0.120073,480.010,105,0
3,6,591,69,103,44999,44996,348,9,5,201828.296385,1233.784498,0.993887,480.007,1,0
3,7,593,103,25,44996,44875,260,9,10,1177.705209,1053.986062,0.105051,480.007,1,0
3,8,593,25,20,44875,32658,94,9,10,480.236207,434.911070,0.094381,480.003,86326,0
3,10,584,24,22,33832,44284,96,2,6,500.896837,500.896837,0.000000,35.342,8441,0
3,11,584,22,18,44284,24936,84,9,10,458.710921,389.237139,0.151454,480.007,38370,0
