attempts,changed,total,best,stall,mut_success,mut_attempts,elapsed_sec,seg1_distance,seg1_stations,seg1_amount,seg2_distance,seg2_stations,seg2_amount,seg3_distance,seg3_stations,seg3_amount,seg4_distance,seg4_stations,seg4_amount,seg5_distance,seg5_stations,seg5_amount,seg6_distance,seg6_stations,seg6_amount,seg7_distance,seg7_stations,seg7_amount,seg8_distance,seg8_stations,seg8_amount,seg9_distance,seg9_stations,seg9_amount,seg10_distance,seg10_stations,seg10_amount,seg11_distance,seg11_stations,seg11_amount,seg12_distance,seg12_stations,seg12_amount,seg13_distance,seg13_stations,seg13_amount
0,0,4762.172,4762.172,0,0,0,45.603,335.968,40,44394,229.769,6,28261,199.680,10,44991,266.602,34,44676,168.124,14,36579,456.382,45,44719,988.065,121,44241,422.818,53,44993,637.563,88,44749,286.267,63,44747,344.073,53,42140,282.520,33,44937,144.339,20,18638
1,1,4598.339,4598.339,0,0,8,11516.784,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,425.958,48,38164,988.065,121,44241,422.818,53,44993,637.563,88,44749,305.480,62,44412,275.652,44,44871,307.590,43,42541,144.339,20,18638
2,1,4505.749,4505.749,0,1,7,22652.096,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,430.251,49,39141,918.299,123,44058,397.837,50,44199,637.563,88,44749,283.019,62,44319,295.980,44,44964,307.590,43,42541,144.339,20,18638
3,1,4493.859,4493.859,0,2,7,30040.188,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,431.208,50,39341,916.230,122,43858,397.284,51,44364,627.338,87,44584,283.019,62,44319,295.980,44,44964,307.590,43,42541,144.339,20,18638
4,1,4480.739,4480.739,0,3,7,36984.545,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,430.402,51,41308,913.651,121,41891,397.665,52,44720,621.098,87,44874,279.143,61,43673,295.980,44,44964,307.590,43,42541,144.339,20,18638
5,1,4460.877,4460.877,0,0,4,41851.630,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,435.617,57,44726,888.574,115,38473,397.665,52,44720,621.098,87,44874,279.143,61,43673,295.980,44,44964,307.590,43,42541,144.339,20,18638
6,1,4403.672,4403.672,0,1,4,46982.503,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,435.617,57,44726,890.362,116,38586,371.587,57,44818,588.182,81,44663,279.143,61,43673,295.980,44,44964,307.590,43,42541,144.339,20,18638
7,1,4401.170,4401.170,0,1,4,51545.523,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,435.617,57,44726,889.015,117,39264,370.432,56,44140,588.182,81,44663,279.143,61,43673,295.980,44,44964,307.590,43,42541,144.339,20,18638
8,1,4397.748,4397.748,0,1,4,56531.493,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,435.617,57,44726,890.212,118,39672,365.814,55,43732,588.182,81,44663,279.143,61,43673,295.980,44,44964,307.590,43,42541,144.339,20,18638
9,1,4391.265,4391.265,0,1,4,61860.530,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,435.617,57,44726,888.775,119,40594,366.485,55,44207,582.464,80,43266,279.143,61,43673,295.980,44,44964,307.590,43,42541,144.339,20,18638
10,1,4390.774,4390.774,0,0,4,67190.420,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,435.617,57,44726,888.775,119,40594,390.908,58,44298,557.550,77,43175,279.143,61,43673,295.980,44,44964,307.590,43,42541,144.339,20,18638
11,0,4390.774,4390.774,1,0,2,68893.489,249.823,19,41093,216.176,27,31562,199.680,10,44991,266.602,34,44676,158.591,11,43134,435.617,57,44726,888.775,119,40594,390.908,58,44298,557.550,77,43175,279.143,61,43673,295.980,44,44964,307.590,43,42541,144.339,20,18638
