pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,50,61,44991,45000,226,9,10,674.530469,626.362043,0.071410,60.004,1,0
1,2,581,61,83,45000,44999,292,9,0,nan,800.987040,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,60.002,1,0
1,3,591,83,87,44999,44993,344,9,7,1809.475905,1150.734524,0.364051,60.007,1,0
1,4,581,87,69,44993,44997,316,9,10,1626.665621,1089.139970,0.330446,60.010,1,0
1,5,581,69,36,44997,44987,214,9,0,nan,1467.572704,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,60.770,1,0
1,6,591,37,85,45000,44895,248,9,1,2576.237982,1478.915351,0.425940,60.036,1,0
1,7,591,86,24,44997,44933,224,9,10,101898.099170,1174.247013,0.988476,60.016,1,1
1,8,584,31,36,44984,44856,138,9,10,916.293244,747.793682,0.183893,60.002,1920,0
1,9,584,36,33,44856,44907,142,9,10,744.071997,644.466480,0.133865,60.003,75,1
1,10,588,37,11,44933,42110,100,9,10,698.780532,551.907822,0.210184,60.004,1267,1
1,11,588,26,5,42444,36397,66,9,10,813.946654,764.987686,0.060150,60.002,3946,1
2,1,583,50,61,44991,45000,226,9,7,676.338187,621.251441,0.081449,60.598,1,0
2,3,591,83,85,44999,44878,340,9,9,1540.928393,1063.626556,0.309750,60.007,1,1
2,4,581,106,69,44954,44997,354,9,10,1511.369682,1182.982330,0.217278,60.007,1,0
2,5,581,69,37,44997,45000,216,9,0,nan,1469.449716,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,60.009,1,0
2,6,591,37,79,45000,44946,236,9,10,2515.838733,1486.338559,0.409208,62.375,1,0
2,7,591,80,31,44984,44984,226,9,10,1608.127215,1176.993951,0.268096,60.011,1,0
2,8,584,31,32,44984,44830,130,9,10,1148.707692,733.896963,0.361111,60.004,1,0
2,9,584,32,22,44830,44599,112,9,10,606.396078,561.588065,0.073892,60.001,1631,0
2,10,588,22,12,44599,39223,72,2,10,612.534702,612.534702,0.000000,52.950,5103,1
2,11,588,12,19,40018,39618,66,2,10,793.171534,793.171534,0.000000,52.456,10428,1
3,1,583,50,61,44991,45000,226,9,10,749.128754,620.991363,0.171049,62.637,1,0
3,2,581,61,62,45000,44923,250,9,10,827.826265,750.244790,0.093717,60.007,1,0
3,3,591,62,105,44923,44916,338,9,8,1409.853305,1057.463841,0.249948,60.019,1,0
3,4,581,105,69,44916,44997,352,9,5,1660.595147,1170.013799,0.295425,60.062,1,1
3,5,581,67,37,44978,45000,212,9,10,2050.648760,1427.411119,0.303922,60.005,1,0
3,6,591,37,80,45000,44984,238,9,6,102956.437523,1488.715157,0.985540,66.232,1,0
3,9,584,32,22,44830,43804,112,9,10,608.887801,571.688587,0.061094,60.002,503,0
3,10,588,22,15,43804,42240,78,9,10,544.849191,507.540926,0.068474,60.006,1277,1
3,11,588,14,16,42234,37396,64,9,10,793.133522,749.386428,0.055157,60.003,17784,0
4,3,591,62,107,44923,44935,342,9,9,1492.779616,1067.561094,0.284850,60.007,1,0
4,4,581,107,67,44935,44978,352,9,0,nan,1171.335544,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.000000,60.013,1,0
4,7,591,80,30,44984,44267,224,9,10,1357.892823,1175.980705,0.133966,60.004,1,0
4,8,584,30,32,44267,44830,128,9,10,825.119583,741.879263,0.100883,60.001,1587,0
4,9,584,32,23,44830,43810,114,9,10,570.302757,553.284457,0.029841,60.003,2207,0
4,10,588,24,14,43984,42234,80,9,7,547.340531,498.518278,0.089199,60.002,5339,0
4,11,588,14,17,42234,38113,66,9,10,788.854898,747.276391,0.052707,60.001,4866,1
5,1,583,50,61,44991,45000,226,9,4,691.035647,611.079805,0.115704,60.004,1,0
5,7,591,80,29,44984,44093,222,9,10,1300.059226,1090.690679,0.161045,60.010,1,0
5,8,584,29,32,44093,44830,126,9,10,703.006999,666.376090,0.052106,60.002,2030,0
5,9,584,32,24,44830,43984,116,9,10,572.794099,548.825531,0.041845,60.002,1250,1
5,10,588,24,11,44199,38682,74,9,10,571.836979,544.552683,0.047713,60.004,15831,0
5,11,588,11,20,38682,41665,66,9,10,788.854935,750.731468,0.048328,60.002,4356,0
6,6,591,37,79,45000,44153,236,9,10,1937.124544,1479.986896,0.235988,60.016,1,0
6,7,591,79,29,44153,44081,220,9,10,1349.873058,1089.798970,0.192666,60.014,1,0
6,8,584,29,32,44081,44615,126,9,9,921.553961,662.927515,0.280642,60.002,808,0
6,9,584,32,24,44615,44199,116,9,10,572.357862,547.770049,0.042959,60.002,2325,0
6,10,588,24,11,44199,38682,74,2,9,571.836979,571.836979,0.000000,42.866,12809,0
6,11,588,11,21,38682,42508,68,9,10,785.526015,741.171017,0.056465,60.002,8419,0
7,7,591,79,27,44153,42171,216,9,10,1264.023170,1074.353087,0.150053,60.017,1,0
7,8,584,27,33,42171,44920,124,9,10,693.808553,673.142569,0.029786,60.003,4019,0
7,9,584,33,24,44920,44199,118,9,10,570.075039,554.238824,0.027779,60.002,1322,0
7,10,588,24,11,44199,38682,74,9,10,571.836979,533.859586,0.066413,60.002,17192,0
7,11,588,11,22,38682,44113,70,9,10,781.688642,600.954492,0.231210,60.002,6896,0
