pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,35,63,43347,43548,200,9,10,775.269121,760.839941,0.018612,300.007,12970,0
1,2,581,63,88,43548,43825,306,9,10,1280.689435,1120.303755,0.125234,300.020,4559,0
1,3,591,88,32,43825,38138,244,9,10,1123.245124,1045.513464,0.069203,300.008,727,0
1,4,593,33,47,38728,42335,164,9,10,705.674984,691.636461,0.019894,300.004,8479,1
1,5,591,34,84,43215,43299,240,2,10,964.417401,964.417401,0.000000,238.505,23054,1
1,6,581,87,79,44249,43889,336,9,10,1152.573352,1030.455945,0.105952,300.011,1,0
1,7,583,79,48,43889,43418,258,9,10,996.153420,896.565506,0.099972,300.008,1,0
1,8,588,48,4,43418,41179,108,9,10,671.799745,601.718278,0.104319,300.003,6271,1
1,9,584,41,23,44149,43412,132,2,10,698.919102,698.919102,0.000000,107.337,11569,0
1,10,593,23,23,43412,43774,96,2,10,402.437950,402.437950,0.000000,9.198,487,1
1,11,593,20,42,43883,43750,128,9,10,522.780601,509.938383,0.024565,300.004,40239,0
1,12,588,42,10,43750,13213,108,2,10,518.827647,518.827647,0.000000,60.564,2627,1
2,1,583,36,63,43695,43548,202,2,10,775.456709,775.456709,0.000000,285.621,10453,1
2,2,581,65,88,44020,43825,310,9,10,1273.261835,1129.405644,0.112982,300.009,506,0
2,3,591,88,46,43825,37848,272,9,10,1102.598151,1061.029793,0.037700,300.015,2198,0
2,4,593,46,31,37848,42265,158,9,10,663.710788,656.620937,0.010682,300.004,13281,1
2,5,591,34,87,43063,44249,246,9,10,960.962385,937.690930,0.024217,300.007,1977,0
2,7,583,79,11,43889,40448,184,2,10,785.529971,785.529971,0.000000,96.819,1860,0
2,8,588,11,41,40448,44149,108,9,10,671.799743,598.203781,0.109550,300.003,5273,1
2,9,584,11,26,40448,43303,78,2,10,482.892497,482.892497,0.000000,76.242,18845,0
2,10,593,26,20,43303,43883,96,2,10,402.437950,402.437950,0.000000,14.489,2658,0
2,11,593,20,24,43883,28172,92,2,10,432.260750,432.260750,0.000000,10.965,1997,0
2,12,588,24,28,28172,28791,108,2,10,518.827643,518.827643,0.000000,44.209,2689,0
3,1,583,34,64,43223,43374,200,9,10,771.390571,759.425599,0.015511,300.005,13136,0
3,2,581,64,88,43374,43825,308,9,10,1282.889637,1127.252505,0.121318,300.013,587,0
3,3,591,88,43,43825,37050,266,9,10,1114.747154,1057.467337,0.051384,300.006,1069,0
3,4,593,43,34,37050,43063,158,9,10,663.710776,649.477751,0.021445,300.006,6621,0
3,6,581,87,80,44249,44535,338,9,10,1189.138275,1029.499116,0.134248,300.017,1,0
3,7,583,80,41,44535,44149,246,9,10,919.990230,872.113905,0.052040,300.005,493,0
3,8,588,41,11,44149,40448,108,9,10,679.250682,601.351898,0.114683,300.005,5362,0
