pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,581,77,61,41777,41762,280,9,10,1180.438796,1120.997599,0.050355,300.011,1,0
1,2,591,61,111,41762,41898,348,9,5,1605.555318,1147.260450,0.285443,300.068,1,0
1,3,591,111,49,41898,35572,324,9,10,1374.049490,1075.061245,0.217596,300.007,1,0
1,4,593,49,10,35572,41093,122,9,10,587.364587,558.259684,0.049552,300.004,53460,0
1,5,593,10,29,41093,41335,82,9,10,355.878235,327.271241,0.080384,300.003,27462,1
1,6,593,12,16,44603,36195,60,2,6,405.850990,405.850990,0.000000,5.108,3788,0
1,7,584,16,26,36195,39192,88,9,10,449.566619,404.094518,0.101147,300.002,49394,1
1,8,584,22,17,35604,34849,82,9,10,397.299488,366.708650,0.076997,300.004,52505,1
1,9,584,24,33,35778,40726,118,9,10,550.305824,487.845581,0.113501,300.009,2690,1
1,10,588,36,25,31902,40066,126,9,10,486.423502,441.252374,0.092864,300.004,15478,1
1,11,588,33,56,43095,41421,182,9,10,596.239968,572.691614,0.039495,300.007,520,1
1,12,583,56,61,40148,41955,238,9,10,598.553101,560.413315,0.063720,300.005,1,1
1,13,583,66,9,43532,10224,154,9,10,557.543191,516.766654,0.073136,300.005,1110,1
2,1,581,77,60,41777,41144,278,9,10,1166.428552,1117.119798,0.042273,300.006,1,0
2,2,591,60,111,41144,41587,346,9,10,1451.489151,1148.665499,0.208630,300.012,1,0
2,3,591,111,50,41587,36501,326,9,10,1482.115177,1078.139886,0.272567,300.025,1,0
2,4,593,50,27,36501,37825,158,2,10,594.815158,594.815158,0.000000,258.094,41785,0
2,5,593,27,12,37825,44603,82,9,10,355.878232,332.732268,0.065039,300.002,36359,0
2,6,593,12,20,44603,39783,68,2,10,404.209275,404.209275,0.000000,3.791,1090,0
2,7,584,20,15,39783,34675,74,9,10,392.585061,345.955987,0.118774,300.003,46493,0
2,8,584,15,21,34675,44602,76,9,10,444.204001,424.255371,0.044909,300.002,60937,0
2,9,584,21,28,44602,28873,102,9,10,503.304354,430.068859,0.145509,300.003,9784,0
2,10,588,28,33,28873,44368,126,9,10,476.800273,449.978416,0.056254,300.003,23349,0
2,11,588,33,51,44368,38571,172,9,10,552.396315,518.955937,0.060537,300.008,381,0
2,12,583,51,55,38571,43688,216,9,4,575.863399,570.725826,0.008922,300.006,12570,0
2,13,583,55,20,43688,10068,154,9,10,557.543213,516.993354,0.072730,300.008,1332,0
