pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,48,61,43996,43989,222,9,10,660.845654,646.851193,0.021177,300.010,16978,1
1,2,581,59,80,43029,43988,282,9,10,867.552199,825.523634,0.048445,300.009,1535,0
1,3,591,80,94,43988,43986,352,9,10,1677.650106,1330.629292,0.206849,300.026,87,0
1,4,593,94,29,43986,43992,250,9,10,1665.832478,1430.528713,0.141253,300.013,391,1
1,5,591,92,83,44990,43998,354,9,10,2167.018467,1582.398147,0.269781,300.017,1,0
1,6,583,84,51,44047,43988,274,9,10,1373.788941,1275.538409,0.071518,300.022,16,0
1,7,588,52,34,44179,43785,176,9,10,830.601068,819.401220,0.013484,300.005,3125,1
1,8,581,40,33,43788,43983,150,9,10,1368.675866,1199.135523,0.123872,300.010,1889,0
1,9,591,33,25,43983,43948,120,9,10,1421.359453,1173.586064,0.174321,300.004,8200,1
1,10,593,23,32,43229,43908,114,9,10,829.232683,749.907835,0.095661,300.003,60435,0
1,11,584,32,8,43908,34748,84,2,10,448.913039,448.913039,0.000000,39.271,1785,0
1,12,584,8,1,34748,9565,22,2,3,251.424330,251.424330,0.000000,0.049,1,1
2,1,583,50,58,44956,42980,220,9,10,658.260227,648.526101,0.014788,300.010,18953,0
2,2,581,58,80,42980,43988,280,9,10,871.648802,824.040417,0.054619,300.017,3943,0
2,3,591,80,31,43988,42988,226,9,10,1182.475938,1068.109018,0.096718,300.007,1142,0
2,4,593,31,92,42988,44990,250,9,10,1680.727282,1392.678337,0.171384,300.014,1035,0
2,5,591,92,83,44990,43626,354,9,10,2306.061217,1418.352472,0.384946,300.018,1,1
2,6,583,92,46,44373,44176,280,9,10,1408.392868,1125.703439,0.200718,300.006,1059,0
2,7,588,46,40,44176,43788,176,9,10,839.693833,808.381929,0.037290,300.005,819,1
2,8,581,46,35,43951,44702,166,9,10,1342.277645,1164.119065,0.132729,300.022,4339,0
2,9,591,35,22,44702,42512,118,9,10,1423.362991,1197.367996,0.158775,300.005,11255,0
2,10,593,22,33,42512,44625,114,9,10,829.232687,760.292815,0.083137,300.004,85577,0
3,3,591,80,32,43988,43409,228,9,10,1181.161784,1059.324401,0.103150,300.012,206,0
3,4,593,32,83,43409,44243,234,9,10,1289.937411,849.966927,0.341079,300.014,1,1
3,5,591,70,90,42725,43524,324,9,10,1810.436936,1468.973681,0.188608,300.014,4,1
3,6,583,45,40,41591,44013,174,9,10,959.293665,919.752514,0.041219,300.004,23011,0
3,7,588,40,47,44013,44420,178,9,10,844.560017,763.402673,0.096094,300.010,251,0
3,8,581,47,35,44420,44702,168,9,10,1320.792326,1151.481431,0.128189,300.008,2644,0
4,3,591,80,45,43988,44927,254,9,10,1087.805956,1029.424010,0.053669,300.007,4997,0
4,4,593,45,115,44927,44658,324,9,10,2489.471531,1343.950671,0.460146,300.028,1,0
4,5,591,115,45,44658,41591,324,9,10,2031.029646,1388.986754,0.316117,300.010,115,1
4,6,583,115,40,44658,44013,314,9,10,1491.695830,1348.142948,0.096235,300.008,583,0
5,4,593,45,45,44927,41591,184,9,10,930.247555,854.446587,0.081485,300.006,1562,1
5,5,591,38,115,41584,44658,310,9,10,1565.797233,1330.193679,0.150469,300.021,19,0
6,3,591,80,52,43988,44934,268,9,10,1140.649613,1013.398569,0.111560,300.011,587,0
6,4,593,52,38,44934,41584,184,9,10,929.273475,850.999549,0.084231,300.015,1120,0
6,5,591,39,115,43469,44658,312,9,10,1507.717960,1315.390290,0.127562,300.006,8,0
6,9,591,35,21,44702,40627,116,9,10,1369.126760,1192.297181,0.129155,300.009,8363,1
6,10,593,22,33,41020,44625,114,9,10,833.305997,756.827624,0.091777,300.002,34326,0
7,3,591,80,51,43988,43309,266,9,10,1138.608943,1045.544303,0.081735,300.007,1528,0
7,4,593,51,39,43309,43469,184,9,10,916.697513,844.975844,0.078239,300.005,1907,1
7,5,591,38,115,42790,44658,310,9,10,1483.881993,1322.847136,0.108523,300.012,1,0
7,8,581,47,34,44420,44309,166,9,10,1251.626045,1087.290447,0.131298,300.018,2497,0
7,9,591,34,23,44309,42645,118,9,10,1369.599624,1201.814197,0.122507,300.004,3409,0
7,10,593,23,33,42645,44625,116,9,10,833.814148,787.017154,0.056124,300.002,32903,1
8,3,591,80,52,43988,43988,268,9,10,1124.658194,1043.474167,0.072186,300.013,1016,0
8,4,593,52,38,43988,42790,184,9,10,935.641830,844.990549,0.096887,300.051,1313,0
8,8,581,47,33,44420,43203,164,9,10,1213.184731,1041.211261,0.141754,300.018,5085,0
8,9,591,33,24,43203,44550,118,9,10,1332.613558,1139.192991,0.145144,300.007,11508,0
8,10,593,25,33,44588,43826,120,9,10,837.139092,788.394802,0.058227,300.002,29462,0
9,2,581,58,79,42980,43950,278,9,10,855.747316,813.858680,0.048950,300.010,1541,0
9,3,591,79,52,43950,43988,266,9,10,1115.438735,1016.364109,0.088821,300.009,1139,0
9,8,581,47,33,44420,43203,164,9,10,1215.304839,1040.301729,0.143999,300.019,3013,0
9,9,591,33,25,43203,44588,120,9,10,1399.466146,1134.085929,0.189630,300.007,5757,0
